SampleID	Outcome	Age
Subject1TP0	18.37	67
Subject1TP1	55.71	58
Subject1TP2	95.38	80
Subject1TP3	53.76	80
Subject2TP0	8.96	69
Subject2TP1	50.55	75
Subject2TP2	93.26	84
Subject2TP3	58.6	79
Subject3TP0	20.45	58
Subject3TP1	64.05	68
Subject3TP2	112.44	75
Subject3TP3	75.98	69
Subject4TP0	20.8	65
Subject4TP1	66.18	72
Subject4TP2	120.63	69
Subject4TP3	58.87	64
Subject5TP0	25.44	69
Subject5TP1	74.85	74
Subject5TP2	140.72	67
Subject5TP3	57.54	78
Subject6TP0	19.15	87
Subject6TP1	56.77	84
Subject6TP2	117.62	84
Subject6TP3	67.64	80
Subject7TP0	26.91	69
Subject7TP1	51.11	71
Subject7TP2	133.25	68
Subject7TP3	62.64	71
Subject8TP0	18.67	80
Subject8TP1	58.18	81
Subject8TP2	123.05	75
Subject8TP3	73.01	70
Subject9TP0	29.11	86
Subject9TP1	62.57	83
Subject9TP2	130.37	75
Subject9TP3	79.61	71
Subject10TP0	49.01	73
Subject10TP1	71.19	70
Subject10TP2	75.51	85
Subject10TP3	68.91	69
Subject11TP0	34.54	69
Subject11TP1	63.54	72
Subject11TP2	57.82	57
Subject11TP3	75	77
Subject12TP0	31.48	66
Subject12TP1	70.56	61
Subject12TP2	68.07	58
Subject12TP3	68.97	73
Subject13TP0	32.72	69
Subject13TP1	69.71	74
Subject13TP2	64.31	72
Subject13TP3	68.62	73
Subject14TP0	50.28	81
Subject14TP1	52.56	78
Subject14TP2	66.74	86
Subject14TP3	77.39	75
Subject15TP0	30.38	68
Subject15TP1	60.12	86
Subject15TP2	70.71	74
Subject15TP3	93.15	72
Subject16TP0	30.12	66
Subject16TP1	72.04	61
Subject16TP2	46.58	58
Subject16TP3	74.31	73
Subject17TP0	23.42	69
Subject17TP1	58.62	74
Subject17TP2	82.79	72
Subject17TP3	98.37	73
Subject18TP0	36.83	81
Subject18TP1	63.25	78
Subject18TP2	86.92	86
Subject18TP3	80.32	75
