chemical_ID	Name
C05824	S-Sulfo-cysteine
C18934	Metsulfovax
C20651	O-Ureido-D-serine
C00025	Glutamate
C04056	9-cis11-trans-Octadecadienoate
C17389	Zinc lactate
C08314	(9R10R)-Dihydroxyoctadecanoic acid
C13947	2-Methoxyhexadecanoic acid
C18539	Sethoxydim
C14132	4-Octylphenol
C14926	3-Hydroxy-2-(4-morpholinylmethyl)estra-135(10)-trien-17-one
C20334	126-Hexanetriol
C14417	2-Anthramine
C20639	O-Ureido-serine
C11170	Sulbenicillin
C12300	alpha-Terpinyl acetate
C19622	910-Dihydroxystearate
C01595	Linoleate
C08321	Malvalic acid
C06426	(6Z9Z12Z)-Octadecatrienoic acid
C08459	Stearolic acid
C16283	Thiobenzamide S-oxide
C14205	4-tert-Octylphenol
C02498	2-Ethylhexan-1-ol
C17359	8-Hydroxyalanylclavam
C15988	(9S10S)-910-Dihydroxyoctadecanoate
C01294	1-Guanidino-1-deoxy-scyllo-inositol 4-phosphate
C07119	Medroxyprogesterone
C08158	Testosterone propionate
C07361	Piperacillin sodium
C20578	Tulipalin A
C17214	2-(3-Methylthio)propylmalic acid
C14987	23-Dihydroxycyclopentaneundecanoic acid
C00661	Glyceraldehyde 3-phosphate
C04122	D-1-Aminopropan-2-ol O-phosphate
C04223	(-)-6-Hydroxy-3-oxo-alpha-ionone
C15793	Typhasterol
C18238	cis-Chlorobenzene dihydrodiol
C19302	Thioacetamide
C16614	6-Methylmercaptopurine
C15888	3434-Tetrahydrospirilloxanthin
C13622	Dibromobisphenol A
C14169	Stovaine
C17725	Heptabarbital
C08282	Chaulmoogric acid
C16433	Aspartate
C11847	Cyclo(Phe-Pro)
C15638	3-Androstanol
C16250	MTIC
C05575	Hercynine
C06747	Phenylmethanesulfonyl fluoride
C19077	Fenuron-TCA
C15339	17alpha2alpha-Dimethy17beta-hydroxy-4-androsten-3-one
C02533	Dehydrovomifoliol
C11445	4-(12-Epoxyethyl)-89-epoxy-enediyne
C00756	1-Octanol
C07915	Metipranolol
C12020	Cethromycin
C07785	Emedastine
C16503	Methyl farnesoate
C05537	N-Succiny2-amino-6-oxopimelate
C08501	gamma-Nonalactone
C11122	DTP
C14837	910-Dihydroxy-1213-epoxyoctadecanoate
C06050	2-Methy3-hydroxy-5-formylpyridine-4-carboxylate
C19301	N-Nitroso-N-methylurethane
C00073	Methionine
C03626	NGNG-Dimethyarginine
C03113	Diisopropyl phosphate
C15269	9-Fluoro-11beta1721-trihydroxy-2alpha-methylpregn-4-ene-320-dione 21-acetate
C00074	Phosphoenolpyruvate
C15375	Apocholic acid
C12374	Decarboxytetracenomycin F1
C18586	Calcium formate
C11593	E3040
C10246	Batatasin I
C15095	Coumestrol diacetate
C19620	910-Epoxy-18-hydroxystearate
C17934	Clobenpropit
C02080	Stipitatonate
C06521	Cuscohygrine
C04282	1-Pyrroline-4-hydroxy-2-carboxylate
C11350	()-trans-alpha-Irone
C19706	cis-3-Hydroxy-proline
C15279	2-Amino-6-(benzylthio)purine
C00768	111.0749_150
C00284	354.0394_194.9
C04211	N(6)-(Indo3-yl)acetylysine
C01073	N-Acetybeta-alanine
C11989	88a-Deoxyoleandolide
C20292	Tetramethylammonium
C10858	Ecgonine
C12796	Erythromycin ethylsuccinate
C04309	Phosphoeno4-deoxy-3-tetrulosonate
C10917	7-NN-Dimethylamino-12345-pentathiocyclooctane
C02588	Retinyl palmitate
C16505	(10S)-Juvenile hormone III diol
C14398	Ethylenethiourea
C19205	3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone
C20441	Furfuryl alcohol
C01598	Melatonin
C06427	(9Z12Z15Z)-Octadecatrienoic acid
C03057	2-Carboxybenzaldehyde
C10142	Dioscorine
C07807	Pirbuterol
C18397	Cyanophos
C00183	Valine
C15077	1-Pheny3-(phenylsulfonyl)-2-propen-1-one
C19158	Bis(chloromethyl) ether
C15098	21-Fluoro-11beta-hydroxypregn-4-ene-320-dione
C07764	Methazolamide
C12312	Indolin-2-one
C03065	3-Guanidinopropanoate
C18526	Tebufenozide
C14395	alpha-Methylstyrene
C18741	MCPA-thioethyl
C06231	Ectoine
C10783	(-)-Sparteine
C14709	11-Dimethylethyl benzoate
C00519	230.9164_154.1
C05515	5-Ureido-4-imidazole carboxylate
C11276	Nimustine hydrochloride
C01157	Hydroxyproline
C15853	Dehydrospermidine
C16621	1-Methy4-nitroimidazole
C08570	Tuliposide B
C13827	Chloroform
C10490	Safrole
C03293	N-Adenylylanthranilate
C16156	Undecaprenyl phosphate alpha-Ara4FN
C04299	D-myo-Inositol 12-cyclic phosphate
C18490	Tetraconazole
C14643	Medrysone
C00086	Urea
C12285	Sucralose
C13750	Batrachotoxin
C14446	Tris(butoxyethyl)phosphate
C10401	Rhein
C11519	N-Cyclohexylformamide
C14411	Dicyclopentadiene
C11074	THTC
C07637	Diloxanide furoate
C11799	SKF 91581
C00988	2-Phosphoglycolate
C08632	Papyriferic acid
C18867	Metosulam
C15651	2-Hydroxy-3-keto-5-methylthiopenteny1-phosphate
C17245	5-Methylthiopentanaldoxime
C14840	Bromobenzene-23-oxide
C19132	Glyphosine
C07268	Nitrofurantoin
C07511	Mecamylamine
C16421	AI-2
C01110	5-Amino-2-oxopentanoic acid
C08234	beta-Cymaropyranose
C04281	1-Pyrroline-3-hydroxy-5-carboxylate
C02018	Cyanopyrazine
C13623	Monobromobisphenol A
C17370	PS-5
C02354	23-Cyclic CMP
C14793	(1R)-Glutathiony(2R)-hydroxy-12-dihydronaphthalene
C00300	Creatine
C06229	Fe(III)dicitrate
C20315	(Z)-2-Methylpropanal oxime
C15999	Methionine (S)-S-oxide
C16361	137-Trimethyluric acid
C00651	4-Methylene-glutamate
C16287	D-Thevetose
C11156	Triadimefon
C15818	Soraphen O
C06354	Benzophenone
C10472	Isosafrole
C15663	CMN 131
C16795	Hydnocarpic acid
C18473	beta-Hydroxyarginine
C08292	alpha-(Methylenecyclopropyl)glycine
C12029	(E)-2-Buteny4-methythreonine
C11335	NNN-Trimethylmethanaminium chloride
C03805	Stearoylglycerone phosphate
C02290	Carnitinamide
C18310	3-Chloro-2-methylmaleylacetate
C14186	Prometon
C16227	()-Sophorol
C20365	Decyl oleate
C20199	3-(3aS4S7aS)-7a-Methy15-dioxo-octahydro-1H-inden-4-ylpropanoate
C16622	NN-Diacetylhydrazine
C19325	11-Aminoundecanoic acid
C18767	236-TBA
C18719	Dimethipin
C10598	Himbacine
C07261	Octamethyltrisiloxane
C16541	Chlorophyllide b
C07894	Procaine hydrochloride
C18085	6-Hydroxyangelicin
C16211	67-Benzocoumarin
C15025	(S)-Carnitine
C01842	Pentanamide
C15488	Fluoroacetaldehyde
C03305	Proly2-naphthylamide
C15201	5beta-Estrane-3alpha17beta-diol
C18983	Ethoate-methyl
C10522	Pseudobaptigenin
C14333	Propyzamide
C09106	Carapanaubine
C14346	Bisphenol A bis(chloroformate)
C01152	N(pi)-Methyhistidine
C01173	138-Naphthalenertriol
C00825	Kanamycin B
C17243	4-Methylthiobutylthiohydroximate
C13714	alpha-EMGBL
C10133	Brunfelsamidine
C01252	4-(2-Aminophenyl)-24-dioxobutanoate
C18431	Iodosulfuron-methysodium
C03900	S-(4-Bromophenyl)-cysteine
C03797	Oxidized Photinus luciferin
C01407	Benzene
C02862	O-Butanoylcarnitine
C16836	14-Bipiperidine-1-carboxylic acid
C00791	121.0721_101.4
C07104	Loxapine
C11149	Dichloroacetate
C10748	Aloperine
C18458	Diclomezine
C04111	3-(Phosphoacetylamido)-alanine
C01767	(-)-Carvone
C07661	Gatifloxacin
C17878	Eucommiol
C15419	trans-2-Phenylcyclopropanecarboxylic acid
C17663	3-Phenylpropyl acetate
C15791	Teasterone
C00666	L26-Diaminoheptanedioate
C03347	35-Dichloro-tyrosine
C14426	Acephate
C00994	D-Prephenyllactate
C08399	Carlina oxide
C19911	Iminodiacetate
C02357	2-Chlorobenzoate
C00826	Arogenate
C12675	Benzylhydrochlorothiazide
C16365	5-Acetylamino-6-formylamino-3-methyluracil
C19280	3-(N-Nitrosomethylamino)propionitrile
C07710	Telmisartan
C14664	11beta16alpha17alpha21-Tetrahydroxy-9alpha-fluoropregn-4-ene-320-dione 1617-acetonide
C07677	Acebutolol hydrochloride
C00062	Arginine
C00819	D-Glutamine
C19468	Nithiazide
C19036	Thionazin
C14477	33-Difluoro-5alpha-androstan-17beta-yl acetate
C00212	Adenosine
C03296	N2-Succinyarginine
C11151	Phenylmercury acetate
C01267	3-(Imidazo4-yl)-2-oxopropyl phosphate
