Name	Statistic
S-Sulfo-cysteine	2.678108996
Metsulfovax	2.651677733
O-Ureido-D-serine	2.46837581
Glutamate	2.465959495
9-cis11-trans-Octadecadienoate	2.443407933
Zinc lactate	2.42856849
(9R10R)-Dihydroxyoctadecanoic acid	2.359506445
2-Methoxyhexadecanoic acid	2.354240013
Sethoxydim	2.339164306
4-Octylphenol	2.335003068
3-Hydroxy-2-(4-morpholinylmethyl)estra-135(10)-trien-17-one	2.29588717
126-Hexanetriol	2.270977045
2-Anthramine	2.264935202
O-Ureido-serine	2.250996713
Sulbenicillin	2.223111682
alpha-Terpinyl acetate	2.201401423
910-Dihydroxystearate	2.190216571
Linoleate	2.186280334
Malvalic acid	2.158044388
(6Z9Z12Z)-Octadecatrienoic acid	2.1519234
Stearolic acid	2.127663749
Thiobenzamide S-oxide	2.124494993
4-tert-Octylphenol	2.118482103
2-Ethylhexan-1-ol	2.105514712
8-Hydroxyalanylclavam	2.102660167
(9S10S)-910-Dihydroxyoctadecanoate	2.081405807
1-Guanidino-1-deoxy-scyllo-inositol 4-phosphate	2.078750545
Medroxyprogesterone	2.053291914
Testosterone propionate	2.039870595
Piperacillin sodium	2.036625272
Tulipalin A	2.03401266
2-(3-Methylthio)propylmalic acid	2.033835953
23-Dihydroxycyclopentaneundecanoic acid	2.031196935
Glyceraldehyde 3-phosphate	2.029675727
D-1-Aminopropan-2-ol O-phosphate	2.019150007
(-)-6-Hydroxy-3-oxo-alpha-ionone	2.013690482
Typhasterol	1.999818244
cis-Chlorobenzene dihydrodiol	1.997297227
Thioacetamide	1.985114519
6-Methylmercaptopurine	1.982051182
3434-Tetrahydrospirilloxanthin	1.979808193
Dibromobisphenol A	1.979062804
Stovaine	1.968114185
Heptabarbital	1.967599873
Chaulmoogric acid	1.96136428
Aspartate	1.960419676
Cyclo(Phe-Pro)	1.946855907
3-Androstanol	1.931823457
MTIC	1.931604184
Hercynine	1.926534988
Phenylmethanesulfonyl fluoride	1.923123549
Fenuron-TCA	1.905988996
17alpha2alpha-Dimethy17beta-hydroxy-4-androsten-3-one	1.903422948
Dehydrovomifoliol	1.903263265
4-(12-Epoxyethyl)-89-epoxy-enediyne	1.900380136
1-Octanol	1.895595482
Metipranolol	1.885060094
Cethromycin	1.846282629
Emedastine	1.839292611
Methyl farnesoate	1.835977891
N-Succiny2-amino-6-oxopimelate	1.834532809
gamma-Nonalactone	1.833820283
DTP	1.828890719
910-Dihydroxy-1213-epoxyoctadecanoate	1.825771156
2-Methy3-hydroxy-5-formylpyridine-4-carboxylate	1.824183878
N-Nitroso-N-methylurethane	1.821868017
Methionine	1.821093347
NGNG-Dimethyarginine	1.819480862
Diisopropyl phosphate	1.819018097
9-Fluoro-11beta1721-trihydroxy-2alpha-methylpregn-4-ene-320-dione 21-acetate	1.816100104
Phosphoenolpyruvate	1.813425606
Apocholic acid	1.812574288
Decarboxytetracenomycin F1	1.804160292
Calcium formate	1.784861718
E3040	1.783825897
Batatasin I	1.782427215
Coumestrol diacetate	1.781168495
910-Epoxy-18-hydroxystearate	1.780554776
Clobenpropit	1.775720133
Stipitatonate	1.761573595
Cuscohygrine	1.756347682
1-Pyrroline-4-hydroxy-2-carboxylate	1.755038202
()-trans-alpha-Irone	1.753239947
cis-3-Hydroxy-proline	1.747346989
2-Amino-6-(benzylthio)purine	1.74044287
111.0749_150	1.737843095
354.0394_194.9	1.735529592
N(6)-(Indo3-yl)acetylysine	1.734713335
N-Acetybeta-alanine	1.733028418
88a-Deoxyoleandolide	1.73146422
Tetramethylammonium	1.719385549
Ecgonine	1.717253959
Erythromycin ethylsuccinate	1.715787077
Phosphoeno4-deoxy-3-tetrulosonate	1.715105572
7-NN-Dimethylamino-12345-pentathiocyclooctane	1.711361051
Retinyl palmitate	1.705247612
(10S)-Juvenile hormone III diol	1.695038295
Ethylenethiourea	1.684828202
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone	1.684283935
Furfuryl alcohol	1.683474923
Melatonin	1.668356461
(9Z12Z15Z)-Octadecatrienoic acid	1.667921501
2-Carboxybenzaldehyde	1.664505456
Dioscorine	1.658115303
Pirbuterol	1.654030754
Cyanophos	1.651812061
Valine	1.647469795
1-Pheny3-(phenylsulfonyl)-2-propen-1-one	1.641274937
Bis(chloromethyl) ether	1.640987448
21-Fluoro-11beta-hydroxypregn-4-ene-320-dione	1.64046883
Methazolamide	1.639450944
Indolin-2-one	1.637615809
3-Guanidinopropanoate	1.635512959
Tebufenozide	1.632524011
alpha-Methylstyrene	1.630528958
MCPA-thioethyl	1.624580955
Ectoine	1.622515573
(-)-Sparteine	1.61970318
11-Dimethylethyl benzoate	1.617670437
230.9164_154.1	1.615152121
5-Ureido-4-imidazole carboxylate	1.612975947
Nimustine hydrochloride	1.609444997
Hydroxyproline	1.609307427
Dehydrospermidine	1.60839065
1-Methy4-nitroimidazole	1.602303601
Tuliposide B	1.599493206
Chloroform	1.597190624
Safrole	1.595977806
N-Adenylylanthranilate	1.593961762
Undecaprenyl phosphate alpha-Ara4FN	1.593377032
D-myo-Inositol 12-cyclic phosphate	1.590866699
Tetraconazole	1.590678697
Medrysone	1.589244504
Urea	1.587824125
Sucralose	1.581385533
Batrachotoxin	1.581293431
Tris(butoxyethyl)phosphate	1.579561899
Rhein	1.575778493
N-Cyclohexylformamide	1.569842518
Dicyclopentadiene	1.566670091
THTC	1.555312856
Diloxanide furoate	1.551522704
SKF 91581	1.547144728
2-Phosphoglycolate	1.547128981
Papyriferic acid	1.546802248
Metosulam	1.544193998
2-Hydroxy-3-keto-5-methylthiopenteny1-phosphate	1.532229622
5-Methylthiopentanaldoxime	1.532137564
Bromobenzene-23-oxide	1.528583226
Glyphosine	1.528396905
Nitrofurantoin	1.524430036
Mecamylamine	1.523551624
AI-2	1.511618351
5-Amino-2-oxopentanoic acid	1.499849705
beta-Cymaropyranose	1.492507369
1-Pyrroline-3-hydroxy-5-carboxylate	1.491510263
Cyanopyrazine	1.49065975
Monobromobisphenol A	1.489137856
PS-5	1.48162345
23-Cyclic CMP	1.480566104
(1R)-Glutathiony(2R)-hydroxy-12-dihydronaphthalene	1.480462483
Creatine	1.478897325
Fe(III)dicitrate	1.476192416
(Z)-2-Methylpropanal oxime	1.474606341
Methionine (S)-S-oxide	1.473042924
137-Trimethyluric acid	1.472758019
4-Methylene-glutamate	1.472629757
D-Thevetose	1.471887097
Triadimefon	1.471275701
Soraphen O	1.47034559
Benzophenone	1.466111382
Isosafrole	1.455890108
CMN 131	1.455553674
Hydnocarpic acid	1.451387285
beta-Hydroxyarginine	1.441105443
alpha-(Methylenecyclopropyl)glycine	1.43709228
(E)-2-Buteny4-methythreonine	1.435861131
NNN-Trimethylmethanaminium chloride	1.431509629
Stearoylglycerone phosphate	1.417947209
Carnitinamide	1.416094189
3-Chloro-2-methylmaleylacetate	1.412242538
Prometon	1.411858286
()-Sophorol	1.410059188
Decyl oleate	1.40821143
3-(3aS4S7aS)-7a-Methy15-dioxo-octahydro-1H-inden-4-ylpropanoate	1.403442547
NN-Diacetylhydrazine	1.400110454
11-Aminoundecanoic acid	1.398693307
236-TBA	1.396728024
Dimethipin	1.394564375
Himbacine	1.391016105
Octamethyltrisiloxane	1.389645296
Chlorophyllide b	1.389178244
Procaine hydrochloride	1.387343345
6-Hydroxyangelicin	1.386227038
67-Benzocoumarin	1.381749868
(S)-Carnitine	1.380969014
Pentanamide	1.378198687
Fluoroacetaldehyde	1.375117417
Proly2-naphthylamide	1.372400226
5beta-Estrane-3alpha17beta-diol	1.372394501
Ethoate-methyl	1.371892672
Pseudobaptigenin	1.371064335
Propyzamide	1.368239537
Carapanaubine	1.366668828
Bisphenol A bis(chloroformate)	1.358925403
N(pi)-Methyhistidine	1.357094928
138-Naphthalenertriol	1.357040049
Kanamycin B	1.354431236
4-Methylthiobutylthiohydroximate	1.352027258
alpha-EMGBL	1.351775344
Brunfelsamidine	1.343100311
4-(2-Aminophenyl)-24-dioxobutanoate	1.340115695
Iodosulfuron-methysodium	1.335900322
S-(4-Bromophenyl)-cysteine	1.334723692
Oxidized Photinus luciferin	1.334604234
Benzene	1.327229267
O-Butanoylcarnitine	1.32682415
14-Bipiperidine-1-carboxylic acid	1.326790823
121.0721_101.4	1.323325119
Loxapine	1.319146766
Dichloroacetate	1.319003144
Aloperine	1.318488624
Diclomezine	1.317833296
3-(Phosphoacetylamido)-alanine	1.317697786
(-)-Carvone	1.308926185
Gatifloxacin	1.307215075
Eucommiol	1.303685183
trans-2-Phenylcyclopropanecarboxylic acid	1.300218742
3-Phenylpropyl acetate	1.299069916
Teasterone	1.295919399
L26-Diaminoheptanedioate	1.292362936
35-Dichloro-tyrosine	1.289440341
Acephate	1.285216257
D-Prephenyllactate	1.28252065
Carlina oxide	1.280732204
Iminodiacetate	1.273763643
2-Chlorobenzoate	1.273383876
Arogenate	1.271224689
Benzylhydrochlorothiazide	1.269630129
5-Acetylamino-6-formylamino-3-methyluracil	1.264095857
3-(N-Nitrosomethylamino)propionitrile	1.263629876
Telmisartan	1.263383304
11beta16alpha17alpha21-Tetrahydroxy-9alpha-fluoropregn-4-ene-320-dione 1617-acetonide	1.257659288
Acebutolol hydrochloride	1.25465717
Arginine	1.250905696
D-Glutamine	1.248414214
Nithiazide	1.247119357
Thionazin	1.239798232
33-Difluoro-5alpha-androstan-17beta-yl acetate	1.238145772
Adenosine	1.237450698
N2-Succinyarginine	1.233177225
Phenylmercury acetate	1.230398047
3-(Imidazo4-yl)-2-oxopropyl phosphate	1.228368528
Onchidal	1.227701884
N-Methyltyramine	1.225314418
Istamycin C1	1.223939729
(1E)-4-Oxobut-1-ene-124-tricarboxylate	1.223640006
N-Hydroxy-valine	1.216761731
D-Fructose	1.215772513
Glufosinate	1.215002101
Methylenediurea	1.212460603
Flaccidin B	1.208112469
(S)-4-Amino-5-oxopentanoate	1.207968074
Butonate	1.206106898
3-Phospho-D-glycerate	1.205432613
2-Hydroxyfluorene	1.203095097
11beta21-Dihydroxypregn-4-ene-320-dione 21-acetate	1.200962686
35-Dichloro-2-methylmuconolactone	1.200588262
Potassium acetate	1.19688082
Edrophonium	1.184246767
Aldicarb	1.184074035
Theobromine	1.183114667
1-Hexadecanoy2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine	1.180263333
trans-2-EnoyOPC6-CoA	1.179447326
