"Name"	"mz"	"time"
"85.02818673_232.906"	"1.00001"	"1.01"
"85.04751022_258.039"	"2.00001"	"2.01"
"85.07762634_316.7395"	"3.00001"	"3.01"
"86.05978839_252.945"	"4.00001"	"4.01"
"86.05977978_85.6569"	"5.00001"	"5.01"
"86.059773_115.7665"	"6.00001"	"6.01"
"86.08091972_317.163"	"7.00001"	"7.01"
"86.09617651_208.387"	"8.00001"	"8.01"
"86.09617598_125.6375"	"9.00001"	"9.01"
"86.09617636_44.9649"	"10.00001"	"10.01"
"86.09617868_347.227"	"11.00001"	"11.01"
"86.90841063_248.997"	"12.00001"	"12.01"
"87.05506053_253.006"	"13.00001"	"13.01"
"87.0995555_208.609"	"14.00001"	"14.01"
"88.03906474_240.1765"	"15.00001"	"15.01"
"88.03907042_217.3505"	"16.00001"	"16.01"
"88.05125042_258.067"	"17.00001"	"17.01"
"88.05756581_220.542"	"18.00001"	"18.01"
"88.06287491_311.2045"	"19.00001"	"19.01"
"88.07545986_43.4566"	"20.00001"	"20.01"
"88.07545751_119.865"	"21.00001"	"21.01"
"88.11183518_122.451"	"22.00001"	"22.01"
"88.11182478_45.4586"	"23.00001"	"23.01"
"88.11185306_191.93"	"24.00001"	"24.01"
"88.50883551_116.918"	"25.00001"	"25.01"
"88.508834_26.6371"	"26.00001"	"26.01"
"88.50884255_45.9793"	"27.00001"	"27.01"
"88.50883979_2.190435"	"28.00001"	"28.01"
"88.50884541_364.937"	"29.00001"	"29.01"
"88.50885721_253.5735"	"30.00001"	"30.01"
"89.00803666_45.361"	"31.00001"	"31.01"
"89.00802993_116.3065"	"32.00001"	"32.01"
"89.00804137_26.8048"	"33.00001"	"33.01"
"89.00804749_306.855"	"34.00001"	"34.01"
"89.03890993_258.073"	"35.00001"	"35.01"
"89.04157032_110.674"	"36.00001"	"36.01"
"89.05458614_66.73525"	"37.00001"	"37.01"
"89.05457987_258.061"	"38.00001"	"38.01"
"89.4907196_45.1062"	"39.00001"	"39.01"
"89.49073084_26.30385"	"40.00001"	"40.01"
"89.49073596_114.6815"	"41.00001"	"41.01"
"89.50410792_218.785"	"42.00001"	"42.01"
"89.50652257_116.798"	"43.00001"	"43.01"
"89.5065231_45.5612"	"44.00001"	"44.01"
"89.50651503_26.6473"	"45.00001"	"45.01"
"89.52230321_45.2667"	"46.00001"	"46.01"
"89.52230998_26.1097"	"47.00001"	"47.01"
"89.52229676_115.246"	"48.00001"	"48.01"
"90.0050487_45.657"	"49.00001"	"49.01"
"90.00504718_26.27985"	"50.00001"	"50.01"
"90.00677997_116.3815"	"51.00001"	"51.01"
"90.00685595_2.20496"	"52.00001"	"52.01"
"90.00818767_260.7675"	"53.00001"	"53.01"
"90.00819357_362.6655"	"54.00001"	"54.01"
"90.00811077_26.7805"	"55.00001"	"55.01"
"90.00795439_45.6756"	"56.00001"	"56.01"
"90.03877753_232.391"	"57.00001"	"57.01"
"90.05472192_251.2575"	"58.00001"	"58.01"
"90.05472203_48.2157"	"59.00001"	"59.01"
"90.05472228_232.18"	"60.00001"	"60.01"
"90.07065206_232.258"	"61.00001"	"61.01"
"90.09111727_233.407"	"62.00001"	"62.01"
"90.09110791_120.4415"	"63.00001"	"63.01"
"90.09110494_45.99"	"64.00001"	"64.01"
"90.0911251_201.145"	"65.00001"	"65.01"
"90.50673538_118.4035"	"66.00001"	"66.01"
"90.50672941_46.8221"	"67.00001"	"67.01"
"90.5067254_25.9195"	"68.00001"	"68.01"
"90.50672141_2.41418"	"69.00001"	"69.01"
"90.5067332_92.6385"	"70.00001"	"70.01"
"90.50674589_307.0155"	"71.00001"	"71.01"
"90.52559442_130.87"	"72.00001"	"72.01"
"90.52560898_320.183"	"73.00001"	"73.01"
"90.52561129_284.086"	"74.00001"	"74.01"
"90.9474521_561.7785"	"75.00001"	"75.01"
"90.97639813_222.054"	"76.00001"	"76.01"
"90.97642907_183.26"	"77.00001"	"77.01"
"90.97641448_155.7625"	"78.00001"	"78.01"
"91.00840453_307.066"	"79.00001"	"79.01"
"91.02730562_321.23"	"80.00001"	"80.01"
"91.05397361_123.092"	"81.00001"	"81.01"
"91.0539806_206.409"	"82.00001"	"82.01"
"91.05398246_39.1911"	"83.00001"	"83.01"
"91.05807179_232.358"	"84.00001"	"84.01"
"91.50444985_117.869"	"85.00001"	"85.01"
"91.50443765_307.5095"	"86.00001"	"86.01"
"91.50444002_46.6013"	"87.00001"	"87.01"
"91.50443648_26.1465"	"88.00001"	"88.01"
"91.54210327_308.507"	"89.00001"	"89.01"
"92.01620398_269.643"	"90.00001"	"90.01"
"92.05893327_232.351"	"91.00001"	"91.01"
"92.31238931_114.426"	"92.00001"	"92.01"
"92.44491307_273.373"	"93.00001"	"93.01"
"92.50321196_307.5845"	"94.00001"	"94.01"
"92.52202155_320.0015"	"95.00001"	"95.01"
"93.06963957_35.76065"	"96.00001"	"96.01"
"93.60162122_377.3295"	"97.00001"	"97.01"
"94.02778956_307.818"	"98.00001"	"98.01"
"94.04481518_282.554"	"99.00001"	"99.01"
"94.0448192_307.642"	"100.00001"	"100.01"
