mz	time	Subject1TP0	Subject1TP1	Subject1TP2	Subject1TP3	Subject2TP0	Subject2TP1	Subject2TP2	Subject2TP3	Subject3TP0	Subject3TP1	Subject3TP2	Subject3TP3	Subject4TP0	Subject4TP1	Subject4TP2	Subject4TP3	Subject5TP0	Subject5TP1	Subject5TP2	Subject5TP3	Subject6TP0	Subject6TP1	Subject6TP2	Subject6TP3	Subject7TP0	Subject7TP1	Subject7TP2	Subject7TP3	Subject8TP0	Subject8TP1	Subject8TP2	Subject8TP3	Subject9TP0	Subject9TP1	Subject9TP2	Subject9TP3	Subject10TP0	Subject10TP1	Subject10TP2	Subject10TP3	Subject11TP0	Subject11TP1	Subject11TP2	Subject11TP3	Subject12TP0	Subject12TP1	Subject12TP2	Subject12TP3	Subject13TP0	Subject13TP1	Subject13TP2	Subject13TP3	Subject14TP0	Subject14TP1	Subject14TP2	Subject14TP3	Subject15TP0	Subject15TP1	Subject15TP2	Subject15TP3	Subject16TP0	Subject16TP1	Subject16TP2	Subject16TP3	Subject17TP0	Subject17TP1	Subject17TP2	Subject17TP3	Subject18TP0	Subject18TP1	Subject18TP2	Subject18TP3
193.09709	101.88	126.39	234.11	162.68	115.29	172.44	171.53	180.31	114.94	224.14	195.09	189.45	122.79	212.02	243.48	188.42	138.91	241.59	192.95	214.74	98.69	270.03	176.79	208.73	78.04	247.82	176.51	175.78	98.94	260.63	181.93	178.06	111.58	218.95	176.24	200.29	112.77	140.23	157.38	124.62	114.34	147.23	165.29	125.85	128.41	126.35	139.75	127.95	74.86	124.92	155.12	109.4	86.88	145.57	142	135.29	83.08	116.95	142.28	113.43	118.26	80.81	146.03	130.52	103.4	79.58	168	109.35	88.19	138.12	166.61	115.05	83.05
104.07101	114.84	108.9	133.53	128.66	205.38	121.48	112.23	142.97	199.35	127.44	102.45	173.31	252.14	123.96	96.93	118.7	234.54	146.33	109.1	178.69	233.61	154.27	138.81	157.97	213.18	176.06	108.79	142.11	116.14	138.78	131.42	172.65	214.14	159.19	102.17	137.67	211.04	120.1	69.85	65.75	92.68	121.22	70.04	76.06	91.89	81.18	73.14	80.93	92.69	110.68	66.84	79.72	92.89	93.5	62.98	87.39	98.32	84.59	65.18	99.23	36.94	85.1	80.49	95.17	115.22	113.47	65.32	53.29	113.25	106.68	74.04	66.5	88.96
104.07101	115	124.1	166.84	156.18	82.57	158.4	190.09	152.89	100.76	155.75	174.85	153.14	112.76	171.54	150.37	163.49	116.06	198.78	161.53	247.61	122.94	167.38	186.12	194.59	93.05	208.24	150.15	140.97	55.62	200.32	138.59	145.99	89.44	192.49	131.44	145.89	93.38	102.94	67.11	83.99	86.86	110.09	98.61	77.91	100.75	136.32	92.56	86.79	75.62	144.39	65.27	110.24	94.26	136.48	77.62	95.43	60.3	135.98	87.54	65.37	92.04	112.09	58.9	92.35	72.92	132.84	97.12	80.71	79.01	144.75	85.78	73.61	83.68
137.04564	76.31	688.13	739.41	529.62	354.46	828.48	660.76	545.32	318.51	798.21	714.6	617.95	400.94	815.2	696.85	611.31	354.28	909.08	792.05	650.85	386.48	897.32	729.1	638.99	420.19	967.92	765.14	579.41	369.82	929.8	759.62	617.5	339.81	989.48	781.37	606.77	386.24	289.67	359.43	240.13	294.74	314.71	338.43	203.29	264.08	349.01	365.76	245.06	283.41	327.8	354.82	228.03	263.83	300.57	362.51	242.41	282.21	280.17	344.99	253.88	273.4	304.37	325.89	292.93	292.98	317.8	318.16	205.93	245.92	310.23	330.51	230.27	270.3
241.03079	130.84	117.8	110.31	114.56	99.99	144.39	155.33	114.47	122	147.16	132.82	129.78	94.86	128.26	161.38	119.12	96.73	177.26	134.94	149.39	134.12	163.22	146.12	148.26	108.68	159.39	140.75	119.11	65.83	170.45	131.79	163.58	104.63	167.33	112.88	142.58	85.38	80.53	84.3	42.33	62.04	73.74	97.78	58	79.33	91.7	82.39	69.71	83.58	77.86	65.56	74.11	82.9	90.53	75.27	80.46	81.88	92.77	52.94	67.99	84.21	91.27	69.54	77.13	85.27	93.18	83.68	57.01	65.09	92.12	82.63	70.9	75.53
134.04476	132.94	182.72	209.42	144.61	92.6	255.9	199.4	179.54	74.58	231.99	196.13	159.57	91.78	188.64	195.08	197.85	103.8	262.23	222.68	185.3	99.44	268.97	206.42	185.65	95.57	282.9	215.2	175.81	99.19	304	191.71	158.61	95.21	270.61	222.76	180.5	90.87	112.55	112	68.97	81.16	93.07	114.11	67.45	81.35	94.92	94.97	73.85	85.08	82.15	103.22	57.07	79.48	94.9	105.34	69.46	82.5	98.08	108.68	81.7	105.63	91.55	82.02	105.9	90.99	75.7	109.98	50.27	81.69	94.38	90.03	72.56	69.49
204.12302	70.49	66.6	230.29	128.91	104.29	71.66	220.06	128.29	112.66	109.62	193.21	163	129.79	99.47	205.28	187.58	126.18	130.51	191.73	165.95	132.7	127.33	207.66	153.23	107.23	139.5	172.98	169.18	97.72	125.79	192.22	142.33	92.14	125.86	191.66	164.23	85.39	40.16	208.59	98.6	101.5	0	197.12	94.93	128.98	88.02	183.9	114.14	81.96	89.63	188.38	111.72	80.32	91.33	180.19	111.23	84.57	76.1	208.46	115	106.65	91.91	199.67	115.16	109.52	91.25	178.91	110.19	56.93	88.38	181.38	105.98	82.4
132.07675	102.12	195.24	217.44	140.85	111.21	273.72	215.96	150.1	92.26	209.56	197.48	194.39	102.03	225.12	223.14	161.06	116.06	262.39	200.53	181.36	122.36	265.6	204.65	168.21	111.58	278.34	214.83	156.23	89.9	287.3	203.99	163.55	95.51	282.26	244	168.87	103.74	85.17	118.48	80.29	95.24	93.97	103.86	72.17	96.63	77.64	115.69	95.04	72.48	94.63	79.63	86.98	86.42	91.99	102.28	84.38	92.48	90.37	111.47	76.57	76.41	96.95	90.17	76.2	100.45	97.8	99.45	80.87	75.82	100.32	115.96	67.1	74.8
170.09226	125.43	239.01	280.89	189.01	126.87	323.59	270.7	205.75	99.2	293.59	235.59	170.78	100.7	282.39	269.96	197.44	133.91	293.17	234.59	174.77	107.34	279.43	230.53	188.53	110.94	282.18	233.76	177.3	111.37	292.42	233.29	190.43	69.49	247.13	237.66	174.65	131.76	93.98	130.44	56.11	81.63	102.69	100.17	70.87	86.37	70.47	102.67	69.06	73.99	85.96	104.77	68.76	75.99	73.99	106.81	74.19	81.45	133.9	144.91	92.15	71.06	96.17	119.69	0	73.51	101.17	123.25	79.78	64.28	100.15	124.64	70.98	57.86
195.08769	172.63	148.76	142.78	96.91	43.25	165.6	126.21	77.48	66.47	150.73	114.58	104.28	67.51	155.77	129.85	114.59	59.92	160.21	127.66	112.25	63.24	155.91	141.24	107.8	75.36	171.12	136.21	107.49	47.46	172.89	110.72	91.14	54.88	170.06	143.16	101.18	71.51	55.14	56.03	54.96	0	62.47	68.89	53.51	39.36	56.7	99.04	47.83	40.21	45.83	62.64	31.6	56.09	51.19	67.54	45.07	57.03	55.91	63.85	50.5	41.4	51.5	64.84	37.89	0	0	62.88	0	48.59	46.36	65.81	33.07	40.2
