mz	time	XID
153.1273	569.9	C08459
174.9919	570.5	C08282
181.1586	569.3	C01595
189.1637	568.8	C08321
193.1587	569.2	C08459
211.1692	569.2	C04056
219.1379	569.3	C08459
223.0964	568.8	C08321
245.2262	569.5	C08321
246.2295	569.7	C04056
250.9999	570.5	C08321
252.997	570.5	C01595
263.2367	569.1	C08321
264.24	569.3	C04056
281.2473	568.8	C08321
282.2506	569	C04056
298.3466	570.6	C08321
301.2643	570.2	C08459
311.1851	569.6	C01595
319.2747	569.8	C01595
322.2738	569.1	C01595
328.0112	570.5	C08321
330.0082	570.4	C08459
332.0052	570.5	C01595
332.9988	570.5	C08321
340.2538	569.2	C04056
348.9898	570.4	C08282
350.9868	570.5	C08459
352.9838	570.5	C08321
355.2242	569.6	C04056
372.0657	570.4	C08282
374.0627	570.5	C08282
387.0401	570.3	C04056
388.043	570.1	C08321
389.0372	570.4	C01595
391.0342	570.5	C08282
400.097	570.5	C08282
402.0941	570.5	C08321
411.2063	569.2	C08282
414.0763	570.6	C04056
416.0732	570.5	C04056
418.0703	570.3	C08321
426.1127	570.5	C04056
428.1097	570.5	C08321
467.1142	570.6	C04056
138.9063	94.9	C19205
140.9034	94.9	C19205
142.9005	94.8	C19205
163.0008	95.1	C19205
196.8649	94.7	C19205
198.862	94.6	C19205
200.859	94.8	C19205
202.8561	93	C19205
206.8937	94.7	C19205
208.8908	95	C19205
210.8878	93.6	C19205
216.9225	94.9	C19205
218.9195	95.2	C19205
237.8913	94.7	C19205
239.8884	93.3	C19205
247.9201	93.4	C19205
256.8203	94.7	C19205
258.8174	94.9	C19205
260.8145	94.2	C19205
264.8521	93.6	C19205
274.8809	93.7	C19205
276.878	93.7	C19205
278.875	93.7	C19205
284.9098	95.1	C19205
286.9068	93.4	C19205
312.7819	94.9	C19205
318.7731	94.6	C19205
322.8107	93.6	C19205
326.8048	95	C19205
332.8395	93.6	C19205
334.8365	93.6	C19205
336.8335	93.7	C19205
342.8684	93.6	C19205
344.8653	93.6	C19205
346.8624	94.6	C19205
352.8971	93.7	C19205
353.9005	93.3	C19205
354.894	93.2	C19205
370.7406	94.1	C19205
372.7377	94.4	C19205
374.7347	94.4	C19205
376.7317	94.2	C19205
380.7695	94.4	C19205
382.7665	94.5	C19205
384.7635	94.5	C19205
386.7604	94.1	C19205
390.7982	94.9	C19205
392.7951	93.6	C19205
394.7923	94.8	C19205
396.7892	93.5	C19205
400.827	93.6	C19205
402.824	93.6	C19205
410.8557	93.6	C19205
412.8528	94.9	C19205
422.8815	93.8	C19205
432.6934	94	C19205
438.7281	94.1	C19205
440.7253	94.2	C19205
442.7223	94.1	C19205
444.719	93.9	C19205
448.7569	93.5	C19205
450.754	94.3	C19205
452.751	94.4	C19205
454.7479	93.4	C19205
458.7857	94.5	C19205
460.7827	94.5	C19205
462.7796	94.4	C19205
464.7768	93.4	C19205
468.8145	94.1	C19205
470.8114	94.5	C19205
472.8085	93.7	C19205
478.7539	96.6	C19205
478.8434	94.4	C19205
480.8402	94.5	C19205
488.872	93.2	C19205
490.6518	93.6	C19205
498.6837	93.2	C19205
500.6807	93.9	C19205
506.7155	93.9	C19205
508.7126	94.1	C19205
516.7443	94.1	C19205
518.7413	94.3	C19205
520.7383	94.2	C19205
522.7354	93.3	C19205
526.773	93.6	C19205
528.7701	94.3	C19205
530.7672	94	C19205
532.8948	88.1	C19205
536.8018	94.4	C19205
538.7989	94.3	C19205
540.7959	93.4	C19205
546.8306	94.1	C19205
566.6709	93.9	C19205
568.6681	93.3	C19205
570.665	93.1	C19205
574.7026	93.8	C19205
576.6998	94.1	C19205
584.7314	93.5	C19205
586.7285	94.1	C19205
588.7256	93.5	C19205
594.7602	93.9	C19205
596.7574	93.9	C19205
598.7545	93.4	C19205
604.7891	93.6	C19205
606.7862	93.7	C19205
614.8179	93.3	C19205
616.8151	93	C19205
624.6294	93	C19205
626.6264	93.1	C19205
642.6899	93.2	C19205
644.687	93.4	C19205
652.7187	93.3	C19205
654.7159	93.4	C19205
656.7128	93.3	C19205
662.7475	93.4	C19205
664.7448	93.6	C19205
672.7763	93.2	C19205
674.7733	93.1	C19205
692.6166	93	C19205
694.6138	93.1	C19205
702.6454	93.2	C19205
704.6426	93.1	C19205
710.6771	93	C19205
712.6742	93.4	C19205
714.6714	93.2	C19205
198.1852	567.8	C19622
225.1847	569.2	C15988
258.2789	564.9	C08314
265.1044	562	C19622
299.2578	569.9	C15988
300.2612	570	C15988
304.2997	560.8	C15988
309.1306	561.9	C15988
317.2684	569.7	C08314
318.2718	569.9	C19622
325.2371	563	C08314
328.248	562.5	C19622
329.2514	562.6	C19622
331.0019	570.4	C19622
339.2503	569.8	C19622
327.0078	570.5	C19077
380.2557	563.5	C19077
469.1111	570.7	C19077
182.0406	98.9	C07361
206.0899	98	C07361
278.1221	98.2	C07361
323.1113	100	C07361
398.0777	98.8	C07361
512.1208	96.6	C07361
541.1554	98.3	C07361
557.1292	99.7	C07361
104.0306	147.4	C20651
111.541	148	C20651
113.0359	148.4	C20639
115.5574	143.5	C20651
116.0021	148.6	C20639
120.0446	149	C20651
123.5452	148.2	C20651
123.5505	148.1	C20651
124.0412	144.6	C20639
124.0437	143	C20639
125.038	144.2	C20651
125.0452	147.7	C20651
125.986	148.2	C20639
126.5366	149	C20651
126.5422	148.2	C20651
131.5524	148.3	C20651
138.0273	144.5	C20639
140.0212	148.1	C20639
141.0063	146.1	C20651
141.0508	144.5	C20639
143.0108	148.4	C20639
143.5621	147.8	C20651
143.9967	149.2	C20639
152.0361	145.2	C20651
153.0327	145.1	C20651
154.0049	148	C20651
156.9839	148.4	C20651
157.0284	148.3	C20639
161.9983	149.2	C20651
164.0668	144.5	C20639
165.0703	144.5	C20639
166.0534	143.4	C20639
166.0643	143.9	C20639
168.01	148.3	C20651
168.0161	148.4	C20651
169.0088	148.8	C20651
169.0356	147.9	C20651
169.0457	144.9	C20639
179.0539	144.1	C20639
181.0284	149.3	C20651
181.0397	148.1	C20639
182.0329	145.7	C20639
182.5117	149.7	C20639
187.526	149.5	C20651
192.0742	152.3	C20651
193.0284	150.8	C20651
193.0623	145	C20639
194.0593	144.3	C20651
198.0105	148.7	C20639
200.0076	148.4	C20639
209.0426	148.5	C20639
210.0353	148.8	C20651
210.0722	145.5	C20651
212.0322	148.6	C20639
213.0182	149.2	C20639
226.0497	148	C20651
254.9866	144.8	C20639
255.9439	148.8	C20651
256.9838	144.2	C20651
260.9353	147	C20639
265.0156	145.9	C20651
266.0164	144.8	C20639
267.0129	144.9	C20639
272.9613	147.5	C20651
276.9129	148.4	C20651
278.8929	151	C20651
278.9099	149.1	C20651
280.9929	146.8	C20651
286.9417	148.3	C20639
288.9387	148.5	C20651
296.9705	148.4	C20639
297.9739	148.9	C20639
