SetID	Name	XID
Car	Car	Car_161.10506_0.8
Car	Car	Car_311.20918_0.91
Car	Car	Car_355.27189_1.15
Car	Car	Car_385.3185_1.72
Car	Car	Car_413.31386_1.37
Car	Car	Car_439.32948_1.48
Car	Car	Car_453.38129_2.33
Car	Car	Car_493.31641_1.72
Car	Car	Car_519.33226_1.84
Car	Car	Car_537.47572_3.47
Car	Car	Car_551.39478_2.72
Car	Car	Car_585.53266_6.59
Car	Car	Car_609.53258_6.05
Car	Car	Car_635.54903_6.09
Car	Car	Car_649.63732_7.08
Car	Car	Car_665.61097_9.44
Car	Car	Car_688.55128_3.83
Car	Car	Car_714.56735_3.94
Car	Car	Car_719.58313_5.59
Car	Car	Car_729.56706_6.55
Car	Car	Car_743.54656_5.32
Car	Car	Car_747.57768_4.52
Car	Car	Car_752.58317_3.93
Car	Car	Car_759.57821_5.04
Car	Car	Car_769.56175_4.75
Car	Car	Car_775.60919_6.18
Car	Car	Car_781.56208_4.3
Car	Car	Car_786.66181_6.65
Car	Car	Car_791.54316_4.54
Car	Car	Car_793.59832_4.86
Car	Car	Car_798.6618_6.53
Car	Car	Car_805.56208_4.13
Car	Car	Car_813.62383_5.94
Car	Car	Car_819.57668_4.36
Car	Car	Car_823.60879_5.61
Car	Car	Car_829.56235_3.72
Car	Car	Car_833.74632_8.41
Car	Car	Car_840.70704_6.95
Car	Car	Car_847.60838_5.37
Car	Car	Car_854.73649_8.34
Car	Car	Car_858.76798_9.03
Car	Car	Car_862.55608_4.6
Car	Car	Car_867.73148_7.86
Car	Car	Car_879.67127_6.86
Car	Car	Car_885.81456_9.48
Car	Car	Car_891.73137_7.74
Car	Car	Car_901.56653_4.33
Car	Car	Car_905.84124_9.58
Car	Car	Car_919.70202_6.96
Car	Car	Car_925.80952_8.96
Car	Car	Car_943.76332_7.79
CE	CE	CE_1639.15265_4.36
CE	CE	CE_313.22487_0.92
CE	CE	CE_357.28758_1.3
CE	CE	CE_393.28769_1.3
CE	CE	CE_413.34999_2.12
CE	CE	CE_439.36585_2.24
CE	CE	CE_455.39715_2.6
CE	CE	CE_495.33215_2.06
CE	CE	CE_519.33228_1.76
CE	CE	CE_537.51164_5.06
CE	CE	CE_565.41063_2.92
CE	CE	CE_593.44208_3.45
CE	CE	CE_614.49068_4.78
CE	CE	CE_635.62163_7.16
CE	CE	CE_651.65282_7.42
CE	CE	CE_667.62658_9.65
CE	CE	CE_689.61107_9.2
CE	CE	CE_715.51482_4.61
CE	CE	CE_723.51969_4.88
CE	CE	CE_730.59885_4.97
CE	CE	CE_743.54672_5.49
CE	CE	CE_747.5777_5.23
CE	CE	CE_753.52979_4.9
CE	CE	CE_761.59395_5.91
CE	CE	CE_769.59749_4.99
CE	CE	CE_775.60928_6.36
CE	CE	CE_783.57672_4.49
CE	CE	CE_786.66187_6.21
CE	CE	CE_791.54567_4.1
CE	CE	CE_793.71525_8.24
CE	CE	CE_799.60956_5.77
CE	CE	CE_807.57669_4.35
CE	CE	CE_813.62465_6.08
CE	CE	CE_819.61394_5.5
CE	CE	CE_823.64366_6.37
CE	CE	CE_831.57637_4.17
CE	CE	CE_835.6076_5.08
CE	CE	CE_841.65487_6.62
CE	CE	CE_847.60878_4.76
CE	CE	CE_855.57725_3.78
CE	CE	CE_859.60738_4.89
CE	CE	CE_863.63971_6.01
CE	CE	CE_869.68712_7.07
CE	CE	CE_879.82562_9.6
CE	CE	CE_886.55648_4.49
CE	CE	CE_891.82525_9.49
CE	CE	CE_901.56689_4.05
CE	CE	CE_907.76227_8.06
CE	CE	CE_919.76298_8.08
CE	CE	CE_925.80955_8.83
CE	CE	CE_943.85626_9.49
Cer	Cer	Cer_203.11568_0.8
Cer	Cer	Cer_315.24068_0.96
Cer	Cer	Cer_367.27194_1.14
Cer	Cer	Cer_395.30281_1.58
Cer	Cer	Cer_413.35001_2.17
Cer	Cer	Cer_441.34481_1.76
Cer	Cer	Cer_465.38126_2.46
Cer	Cer	Cer_495.33216_1.97
Cer	Cer	Cer_519.50083_5.06
Cer	Cer	Cer_539.52761_5.38
Cer	Cer	Cer_565.54308_6.01
Cer	Cer	Cer_594.52174_6.61
Cer	Cer	Cer_616.5064_5.37
Cer	Cer	Cer_637.63727_7.26
Cer	Cer	Cer_659.54902_5.86
Cer	Cer	Cer_670.56884_8.83
Cer	Cer	Cer_689.61907_9.47
Cer	Cer	Cer_715.55127_4.73
Cer	Cer	Cer_726.56737_3.78
Cer	Cer	Cer_731.54588_4.27
Cer	Cer	Cer_743.54749_4.54
Cer	Cer	Cer_747.57794_5.43
Cer	Cer	Cer_753.53087_3.66
Cer	Cer	Cer_767.5445_4.72
Cer	Cer	Cer_770.63098_5.62
Cer	Cer	Cer_775.61051_5.37
Cer	Cer	Cer_783.57675_4.63
Cer	Cer	Cer_787.60963_5.97
Cer	Cer	Cer_791.54577_4.29
