XID	Statistic
C05824	2.678108996
C18934	2.651677733
C20651	2.46837581
C00025	2.465959495
C04056	2.443407933
C17389	2.42856849
C08314	2.359506445
C13947	2.354240013
C18539	2.339164306
C14132	2.335003068
C14926	2.29588717
C20334	2.270977045
C14417	2.264935202
C20639	2.250996713
C11170	2.223111682
C12300	2.201401423
C19622	2.190216571
C01595	2.186280334
C08321	2.158044388
C06426	2.1519234
C08459	2.127663749
C16283	2.124494993
C14205	2.118482103
C02498	2.105514712
C17359	2.102660167
C15988	2.081405807
C01294	2.078750545
C07119	2.053291914
C08158	2.039870595
C07361	2.036625272
C20578	2.03401266
C17214	2.033835953
C14987	2.031196935
C00661	2.029675727
C04122	2.019150007
C04223	2.013690482
C15793	1.999818244
C18238	1.997297227
C19302	1.985114519
C16614	1.982051182
C15888	1.979808193
C13622	1.979062804
C14169	1.968114185
C17725	1.967599873
C08282	1.96136428
C16433	1.960419676
C11847	1.946855907
C15638	1.931823457
C16250	1.931604184
C05575	1.926534988
C06747	1.923123549
C19077	1.905988996
C15339	1.903422948
C02533	1.903263265
C11445	1.900380136
C00756	1.895595482
C07915	1.885060094
C12020	1.846282629
C07785	1.839292611
C16503	1.835977891
C05537	1.834532809
C08501	1.833820283
C11122	1.828890719
C14837	1.825771156
C06050	1.824183878
C19301	1.821868017
C00073	1.821093347
C03626	1.819480862
C03113	1.819018097
C15269	1.816100104
C00074	1.813425606
C15375	1.812574288
C12374	1.804160292
C18586	1.784861718
C11593	1.783825897
C10246	1.782427215
C15095	1.781168495
C19620	1.780554776
C17934	1.775720133
C02080	1.761573595
C06521	1.756347682
C04282	1.755038202
C11350	1.753239947
C19706	1.747346989
C15279	1.74044287
C00768	1.737843095
C00284	1.735529592
C04211	1.734713335
C01073	1.733028418
C11989	1.73146422
C20292	1.719385549
C10858	1.717253959
C12796	1.715787077
C04309	1.715105572
C10917	1.711361051
C02588	1.705247612
C16505	1.695038295
C14398	1.684828202
C19205	1.684283935
C20441	1.683474923
C01598	1.668356461
C06427	1.667921501
C03057	1.664505456
C10142	1.658115303
C07807	1.654030754
C18397	1.651812061
C00183	1.647469795
C15077	1.641274937
C19158	1.640987448
C15098	1.64046883
C07764	1.639450944
C12312	1.637615809
C03065	1.635512959
C18526	1.632524011
C14395	1.630528958
C18741	1.624580955
C06231	1.622515573
C10783	1.61970318
C14709	1.617670437
C00519	1.615152121
C05515	1.612975947
C11276	1.609444997
C01157	1.609307427
C15853	1.60839065
C16621	1.602303601
C08570	1.599493206
C13827	1.597190624
C10490	1.595977806
C03293	1.593961762
C16156	1.593377032
C04299	1.590866699
C18490	1.590678697
C14643	1.589244504
C00086	1.587824125
C12285	1.581385533
C13750	1.581293431
C14446	1.579561899
C10401	1.575778493
C11519	1.569842518
C14411	1.566670091
C11074	1.555312856
C07637	1.551522704
C11799	1.547144728
C00988	1.547128981
C08632	1.546802248
C18867	1.544193998
C15651	1.532229622
C17245	1.532137564
C14840	1.528583226
C19132	1.528396905
C07268	1.524430036
C07511	1.523551624
C16421	1.511618351
C01110	1.499849705
C08234	1.492507369
C04281	1.491510263
C02018	1.49065975
C13623	1.489137856
C17370	1.48162345
C02354	1.480566104
C14793	1.480462483
C00300	1.478897325
C06229	1.476192416
C20315	1.474606341
C15999	1.473042924
C16361	1.472758019
C00651	1.472629757
C16287	1.471887097
C11156	1.471275701
C15818	1.47034559
C06354	1.466111382
C10472	1.455890108
C15663	1.455553674
C16795	1.451387285
C18473	1.441105443
C08292	1.43709228
C12029	1.435861131
C11335	1.431509629
C03805	1.417947209
C02290	1.416094189
C18310	1.412242538
C14186	1.411858286
C16227	1.410059188
C20365	1.40821143
C20199	1.403442547
C16622	1.400110454
C19325	1.398693307
C18767	1.396728024
C18719	1.394564375
