SampleID	Factor1
Subject1TP0	Group1
Subject1TP1	Group1
Subject1TP2	Group1
Subject1TP3	Group1
Subject2TP0	Group1
Subject2TP1	Group1
Subject2TP2	Group1
Subject2TP3	Group1
Subject3TP0	Group1
Subject3TP1	Group1
Subject3TP2	Group1
Subject3TP3	Group1
Subject4TP0	Group1
Subject4TP1	Group1
Subject4TP2	Group1
Subject4TP3	Group1
Subject5TP0	Group1
Subject5TP1	Group1
Subject5TP2	Group1
Subject5TP3	Group1
Subject6TP0	Group1
Subject6TP1	Group1
Subject6TP2	Group1
Subject6TP3	Group1
Subject7TP0	Group1
Subject7TP1	Group1
Subject7TP2	Group1
Subject7TP3	Group1
Subject8TP0	Group1
Subject8TP1	Group1
Subject8TP2	Group1
Subject8TP3	Group1
Subject9TP0	Group1
Subject9TP1	Group1
Subject9TP2	Group1
Subject9TP3	Group1
Subject10TP0	Group2
Subject10TP1	Group2
Subject10TP2	Group2
Subject10TP3	Group2
Subject11TP0	Group2
Subject11TP1	Group2
Subject11TP2	Group2
Subject11TP3	Group2
Subject12TP0	Group2
Subject12TP1	Group2
Subject12TP2	Group2
Subject12TP3	Group2
Subject13TP0	Group2
Subject13TP1	Group2
Subject13TP2	Group2
Subject13TP3	Group2
Subject14TP0	Group2
Subject14TP1	Group2
Subject14TP2	Group2
Subject14TP3	Group2
Subject15TP0	Group2
Subject15TP1	Group2
Subject15TP2	Group2
Subject15TP3	Group2
Subject16TP0	Group2
Subject16TP1	Group2
Subject16TP2	Group2
Subject16TP3	Group2
Subject17TP0	Group2
Subject17TP1	Group2
Subject17TP2	Group2
Subject17TP3	Group2
Subject18TP0	Group2
Subject18TP1	Group2
Subject18TP2	Group2
Subject18TP3	Group2
