SampleID	SubjectID	Factor1
Subject1TP0	Subject1	TPearly
Subject1TP1	Subject1	TPearly
Subject1TP2	Subject1	TPlate
Subject1TP3	Subject1	TPlate
Subject2TP0	Subject2	TPearly
Subject2TP1	Subject2	TPearly
Subject2TP2	Subject2	TPlate
Subject2TP3	Subject2	TPlate
Subject3TP0	Subject3	TPearly
Subject3TP1	Subject3	TPearly
Subject3TP2	Subject3	TPlate
Subject3TP3	Subject3	TPlate
Subject4TP0	Subject4	TPearly
Subject4TP1	Subject4	TPearly
Subject4TP2	Subject4	TPlate
Subject4TP3	Subject4	TPlate
Subject5TP0	Subject5	TPearly
Subject5TP1	Subject5	TPearly
Subject5TP2	Subject5	TPlate
Subject5TP3	Subject5	TPlate
Subject6TP0	Subject6	TPearly
Subject6TP1	Subject6	TPearly
Subject6TP2	Subject6	TPlate
Subject6TP3	Subject6	TPlate
Subject7TP0	Subject7	TPearly
Subject7TP1	Subject7	TPearly
Subject7TP2	Subject7	TPlate
Subject7TP3	Subject7	TPlate
Subject8TP0	Subject8	TPearly
Subject8TP1	Subject8	TPearly
Subject8TP2	Subject8	TPlate
Subject8TP3	Subject8	TPlate
Subject9TP0	Subject9	TPearly
Subject9TP1	Subject9	TPearly
Subject9TP2	Subject9	TPlate
Subject9TP3	Subject9	TPlate
Subject10TP0	Subject10	TPearly
Subject10TP1	Subject10	TPearly
Subject10TP2	Subject10	TPlate
Subject10TP3	Subject10	TPlate
Subject11TP0	Subject11	TPearly
Subject11TP1	Subject11	TPearly
Subject11TP2	Subject11	TPlate
Subject11TP3	Subject11	TPlate
Subject12TP0	Subject12	TPearly
Subject12TP1	Subject12	TPearly
Subject12TP2	Subject12	TPlate
Subject12TP3	Subject12	TPlate
Subject13TP0	Subject13	TPearly
Subject13TP1	Subject13	TPearly
Subject13TP2	Subject13	TPlate
Subject13TP3	Subject13	TPlate
Subject14TP0	Subject14	TPearly
Subject14TP1	Subject14	TPearly
Subject14TP2	Subject14	TPlate
Subject14TP3	Subject14	TPlate
Subject15TP0	Subject15	TPearly
Subject15TP1	Subject15	TPearly
Subject15TP2	Subject15	TPlate
Subject15TP3	Subject15	TPlate
Subject16TP0	Subject16	TPearly
Subject16TP1	Subject16	TPearly
Subject16TP2	Subject16	TPlate
Subject16TP3	Subject16	TPlate
Subject17TP0	Subject17	TPearly
Subject17TP1	Subject17	TPearly
Subject17TP2	Subject17	TPlate
Subject17TP3	Subject17	TPlate
Subject18TP0	Subject18	TPearly
Subject18TP1	Subject18	TPearly
Subject18TP2	Subject18	TPlate
Subject18TP3	Subject18	TPlate
