SampleID	SubjectID	Outcome
Subject1TP0	Subject1	18.37
Subject1TP1	Subject1	55.71
Subject1TP2	Subject1	95.38
Subject1TP3	Subject1	53.76
Subject2TP0	Subject2	8.96
Subject2TP1	Subject2	50.55
Subject2TP2	Subject2	93.26
Subject2TP3	Subject2	58.6
Subject3TP0	Subject3	20.45
Subject3TP1	Subject3	64.05
Subject3TP2	Subject3	112.44
Subject3TP3	Subject3	75.98
Subject4TP0	Subject4	20.8
Subject4TP1	Subject4	66.18
Subject4TP2	Subject4	120.63
Subject4TP3	Subject4	58.87
Subject5TP0	Subject5	25.44
Subject5TP1	Subject5	74.85
Subject5TP2	Subject5	140.72
Subject5TP3	Subject5	57.54
Subject6TP0	Subject6	19.15
Subject6TP1	Subject6	56.77
Subject6TP2	Subject6	117.62
Subject6TP3	Subject6	67.64
Subject7TP0	Subject7	26.91
Subject7TP1	Subject7	51.11
Subject7TP2	Subject7	133.25
Subject7TP3	Subject7	62.64
Subject8TP0	Subject8	18.67
Subject8TP1	Subject8	58.18
Subject8TP2	Subject8	123.05
Subject8TP3	Subject8	73.01
Subject9TP0	Subject9	29.11
Subject9TP1	Subject9	62.57
Subject9TP2	Subject9	130.37
Subject9TP3	Subject9	79.61
Subject10TP0	Subject10	49.01
Subject10TP1	Subject10	71.19
Subject10TP2	Subject10	75.51
Subject10TP3	Subject10	68.91
Subject11TP0	Subject11	34.54
Subject11TP1	Subject11	63.54
Subject11TP2	Subject11	57.82
Subject11TP3	Subject11	75
Subject12TP0	Subject12	31.48
Subject12TP1	Subject12	70.56
Subject12TP2	Subject12	68.07
Subject12TP3	Subject12	68.97
Subject13TP0	Subject13	32.72
Subject13TP1	Subject13	69.71
Subject13TP2	Subject13	64.31
Subject13TP3	Subject13	68.62
Subject14TP0	Subject14	50.28
Subject14TP1	Subject14	52.56
Subject14TP2	Subject14	66.74
Subject14TP3	Subject14	77.39
Subject15TP0	Subject15	30.38
Subject15TP1	Subject15	60.12
Subject15TP2	Subject15	70.71
Subject15TP3	Subject15	93.15
Subject16TP0	Subject16	30.12
Subject16TP1	Subject16	72.04
Subject16TP2	Subject16	46.58
Subject16TP3	Subject16	74.31
Subject17TP0	Subject17	23.42
Subject17TP1	Subject17	58.62
Subject17TP2	Subject17	82.79
Subject17TP3	Subject17	98.37
Subject18TP0	Subject18	36.83
Subject18TP1	Subject18	63.25
Subject18TP2	Subject18	86.92
Subject18TP3	Subject18	80.32
