SampleID	SubjectID	Factor1	Factor2
Subject1TP0	Subject1	Group1	TP0
Subject1TP1	Subject1	Group1	TP1
Subject1TP2	Subject1	Group1	TP2
Subject1TP3	Subject1	Group1	TP3
Subject2TP0	Subject2	Group1	TP0
Subject2TP1	Subject2	Group1	TP1
Subject2TP2	Subject2	Group1	TP2
Subject2TP3	Subject2	Group1	TP3
Subject3TP0	Subject3	Group1	TP0
Subject3TP1	Subject3	Group1	TP1
Subject3TP2	Subject3	Group1	TP2
Subject3TP3	Subject3	Group1	TP3
Subject4TP0	Subject4	Group1	TP0
Subject4TP1	Subject4	Group1	TP1
Subject4TP2	Subject4	Group1	TP2
Subject4TP3	Subject4	Group1	TP3
Subject5TP0	Subject5	Group1	TP0
Subject5TP1	Subject5	Group1	TP1
Subject5TP2	Subject5	Group1	TP2
Subject5TP3	Subject5	Group1	TP3
Subject6TP0	Subject6	Group1	TP0
Subject6TP1	Subject6	Group1	TP1
Subject6TP2	Subject6	Group1	TP2
Subject6TP3	Subject6	Group1	TP3
Subject7TP0	Subject7	Group1	TP0
Subject7TP1	Subject7	Group1	TP1
Subject7TP2	Subject7	Group1	TP2
Subject7TP3	Subject7	Group1	TP3
Subject8TP0	Subject8	Group1	TP0
Subject8TP1	Subject8	Group1	TP1
Subject8TP2	Subject8	Group1	TP2
Subject8TP3	Subject8	Group1	TP3
Subject9TP0	Subject9	Group1	TP0
Subject9TP1	Subject9	Group1	TP1
Subject9TP2	Subject9	Group1	TP2
Subject9TP3	Subject9	Group1	TP3
Subject10TP0	Subject10	Group2	TP0
Subject10TP1	Subject10	Group2	TP1
Subject10TP2	Subject10	Group2	TP2
Subject10TP3	Subject10	Group2	TP3
Subject11TP0	Subject11	Group2	TP0
Subject11TP1	Subject11	Group2	TP1
Subject11TP2	Subject11	Group2	TP2
Subject11TP3	Subject11	Group2	TP3
Subject12TP0	Subject12	Group2	TP0
Subject12TP1	Subject12	Group2	TP1
Subject12TP2	Subject12	Group2	TP2
Subject12TP3	Subject12	Group2	TP3
Subject13TP0	Subject13	Group2	TP0
Subject13TP1	Subject13	Group2	TP1
Subject13TP2	Subject13	Group2	TP2
Subject13TP3	Subject13	Group2	TP3
Subject14TP0	Subject14	Group2	TP0
Subject14TP1	Subject14	Group2	TP1
Subject14TP2	Subject14	Group2	TP2
Subject14TP3	Subject14	Group2	TP3
Subject15TP0	Subject15	Group2	TP0
Subject15TP1	Subject15	Group2	TP1
Subject15TP2	Subject15	Group2	TP2
Subject15TP3	Subject15	Group2	TP3
Subject16TP0	Subject16	Group2	TP0
Subject16TP1	Subject16	Group2	TP1
Subject16TP2	Subject16	Group2	TP2
Subject16TP3	Subject16	Group2	TP3
Subject17TP0	Subject17	Group2	TP0
Subject17TP1	Subject17	Group2	TP1
Subject17TP2	Subject17	Group2	TP2
Subject17TP3	Subject17	Group2	TP3
Subject18TP0	Subject18	Group2	TP0
Subject18TP1	Subject18	Group2	TP1
Subject18TP2	Subject18	Group2	TP2
Subject18TP3	Subject18	Group2	TP3
