SampleID	Factor1	Factor2
Subject1TP0	Group1	Dose0
Subject1TP1	Group1	Dose1
Subject1TP2	Group1	Dose2
Subject1TP3	Group1	Dose3
Subject2TP0	Group1	Dose0
Subject2TP1	Group1	Dose1
Subject2TP2	Group1	Dose2
Subject2TP3	Group1	Dose3
Subject3TP0	Group1	Dose0
Subject3TP1	Group1	Dose1
Subject3TP2	Group1	Dose2
Subject3TP3	Group1	Dose3
Subject4TP0	Group1	Dose0
Subject4TP1	Group1	Dose1
Subject4TP2	Group1	Dose2
Subject4TP3	Group1	Dose3
Subject5TP0	Group1	Dose0
Subject5TP1	Group1	Dose1
Subject5TP2	Group1	Dose2
Subject5TP3	Group1	Dose3
Subject6TP0	Group1	Dose0
Subject6TP1	Group1	Dose1
Subject6TP2	Group1	Dose2
Subject6TP3	Group1	Dose3
Subject7TP0	Group1	Dose0
Subject7TP1	Group1	Dose1
Subject7TP2	Group1	Dose2
Subject7TP3	Group1	Dose3
Subject8TP0	Group1	Dose0
Subject8TP1	Group1	Dose1
Subject8TP2	Group1	Dose2
Subject8TP3	Group1	Dose3
Subject9TP0	Group1	Dose0
Subject9TP1	Group1	Dose1
Subject9TP2	Group1	Dose2
Subject9TP3	Group1	Dose3
Subject10TP0	Group2	Dose0
Subject10TP1	Group2	Dose1
Subject10TP2	Group2	Dose2
Subject10TP3	Group2	Dose3
Subject11TP0	Group2	Dose0
Subject11TP1	Group2	Dose1
Subject11TP2	Group2	Dose2
Subject11TP3	Group2	Dose3
Subject12TP0	Group2	Dose0
Subject12TP1	Group2	Dose1
Subject12TP2	Group2	Dose2
Subject12TP3	Group2	Dose3
Subject13TP0	Group2	Dose0
Subject13TP1	Group2	Dose1
Subject13TP2	Group2	Dose2
Subject13TP3	Group2	Dose3
Subject14TP0	Group2	Dose0
Subject14TP1	Group2	Dose1
Subject14TP2	Group2	Dose2
Subject14TP3	Group2	Dose3
Subject15TP0	Group2	Dose0
Subject15TP1	Group2	Dose1
Subject15TP2	Group2	Dose2
Subject15TP3	Group2	Dose3
Subject16TP0	Group2	Dose0
Subject16TP1	Group2	Dose1
Subject16TP2	Group2	Dose2
Subject16TP3	Group2	Dose3
Subject17TP0	Group2	Dose0
Subject17TP1	Group2	Dose1
Subject17TP2	Group2	Dose2
Subject17TP3	Group2	Dose3
Subject18TP0	Group2	Dose0
Subject18TP1	Group2	Dose1
Subject18TP2	Group2	Dose2
Subject18TP3	Group2	Dose3
